X_coord,Y_coord,Difficulties
0,17,034730
0,15,142210
0,14,013100
0,13,262000
0,12,012101
0,11,026201
0,10,041000
0,9,131000
0,8,152000
0,4,234300
1,17,375200
1,15,252100
1,14,135410
1,12,253102
1,11,014100
1,10,153300
1,9,252000
1,8,001510
1,7,003000
1,6,022200
1,5,153000
1,3,100002
1,2,400003
2,17,124100
2,15,123210
2,14,143100
2,13,114210
2,12,282000
2,11,013100
2,10,033300
2,9,171000
2,8,013100
2,7,131000
2,6,013100
2,5,014100
2,4,014100
3,2,001000
3,17,268620
3,16,234210
3,15,123210
3,14,023721
3,13,125210
3,12,222210
3,11,006440
3,10,151001
3,9,144400
3,8,001510
3,7,012100
3,6,013100
3,5,012100
3,4,012200
4,17,026920
4,15,144410
4,14,273310
4,13,625260
4,12,036300
4,11,001710
4,10,015100
4,9,161000
4,8,001510
4,7,024200
4,6,425240
4,5,341002
5,17,125210
5,15,013100
5,14,014100
5,13,153100
5,12,162000
5,11,016101
5,10,001610
5,9,001410
5,8,002001
5,7,014101
5,6,252000
5,5,013100
5,4,549411
6,17,024720
6,16,134310
6,15,113110
6,14,263100
6,13,126210
6,12,058500
6,11,163300
6,10,001310
6,9,001310
6,8,001510
6,7,046400
6,6,001310
6,5,330003
6,3,449421
6,1,001003
7,17,013100
7,15,135210
7,14,022100
7,13,101520
7,12,002420
7,11,151000
7,10,027200
7,9,004940
7,8,013100
7,7,001410
7,6,100001
7,4,022200
8,17,014510
8,15,152510
8,14,263100
8,13,002720
8,12,000051
8,11,023001
8,10,014100
8,9,014100
8,8,001410
8,7,122210
8,6,043300
8,5,001410
8,4,024203
8,3,002620
9,15,000450
9,13,031200
9,12,016100
9,11,001410
9,10,013100
9,9,001610
9,8,351002
9,7,015100
9,6,015100
9,5,012100
9,4,382000
9,1,001002
10,17,258520
10,15,135310
10,13,002620
10,12,022220
10,11,033300
10,10,262000
10,9,033000
10,8,015100
10,7,013100
10,6,021000
10,5,012100
10,4,025200
