X_coord,Y_coord,Difficulties
0,17,5
0,15,2
0,14,2
0,13,2
0,12,4
0,11,4
0,10,0
0,9,1
0,8,3
0,4,4
1,17,9
1,15,3
1,14,4
1,12,3
1,11,3
1,10,6
1,9,6
1,8,5
1,7,6
1,6,3
1,5,1
1,3,3
1,2,6
2,17,4
2,15,1
2,14,2
2,13,3
2,12,3
2,11,4
2,10,3
2,9,3
2,8,2
2,7,2
2,6,5
2,5,1
2,4,5
3,17,9
3,16,4
3,15,3
3,14,4
3,13,1
3,12,3
3,11,7
3,10,2
3,9,5
3,8,4
3,7,1
3,6,3
3,5,3
3,4,3
3,2,3
4,17,9
4,15,4
4,14,6
4,13,4
4,12,7
4,11,7
4,10,4
4,9,4
4,8,3
4,7,8
4,6,6
4,5,3
5,15,1
5,14,3
5,13,3
5,12,2
5,11,4
5,10,6
5,9,5
5,8,4
5,7,2
5,6,3
5,5,1
5,4,7
6,17,8
6,16,4
6,15,1
6,14,3
6,13,4
6,12,7
6,11,5
6,10,3
6,9,4
6,8,6
6,7,5
6,6,2
6,5,4
6,3,8
6,1,7
7,17,4
7,15,4
7,14,1
7,13,5
7,12,4
7,11,4
7,10,7
7,9,9
7,8,5
7,7,5
7,6,1
7,4,3
8,17,6
8,15,6
8,14,3
8,13,7
8,12,3
8,11,5
8,10,6
8,9,6
8,8,4
8,7,1
8,6,3
8,5,3
8,4,6
8,3,6
9,15,2
9,13,2
9,12,4
9,11,3
9,10,2
9,9,5
9,8,5
9,7,8
9,6,5
9,5,1
9,4,5
9,1,6
10,17,9
10,15,5
10,13,4
10,12,3
10,11,3
10,10,6
10,9,1
10,8,7
10,7,3
10,6,5
10,5,2
10,4,9
